"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"x61",10999,1709568581.13364,1709568581.13388,1709568581.17308,1709568581.17418,1709568581.17432,1709568581.19788,1709568581.19849,1709568581.19884,1709568581.21212,1709568581.40702
"x62",12099,1709568581.34483,1709568581.34507,1709568581.47559,1709568581.47778,1709568581.47794,1709568581.48135,1709568581.48196,1709568581.48221,1709568581.52153,1709568581.73019
"x63",10599,1709568581.65675,1709568581.65699,1709568581.80391,1709568581.80709,1709568581.80725,1709568581.81487,1709568581.81548,1709568581.81584,1709568581.86648,1709568582.10308
"x64",10999,1709568581.69139,1709568581.69153,1709568581.7619,1709568581.76372,1709568581.76386,1709568581.76815,1709568581.76867,1709568581.76896,1709568581.79894,1709568582.01677
"x65",12099,1709568581.84875,1709568581.84903,1709568582.0107,1709568582.01374,1709568582.01388,1709568582.01977,1709568582.02055,1709568582.02089,1709568582.07457,1709568582.31984
"x66",14299,1709568581.95412,1709568581.95441,1709568582.08705,1709568582.08933,1709568582.08948,1709568582.09585,1709568582.09654,1709568582.0969,1709568582.12059,1709568582.334
"x67",10149,1709568582.50527,1709568582.50543,1709568582.56916,1709568582.57111,1709568582.57125,1709568582.57585,1709568582.57658,1709568582.57677,1709568582.593,1709568582.80978
"x68",10999,1709568582.44299,1709568582.44321,1709568582.51986,1709568582.52148,1709568582.52162,1709568582.52323,1709568582.52363,1709568582.54483,1709568582.56848,1709568582.79305
"x69",10999,1709568582.40561,1709568582.40587,1709568582.5879,1709568582.59067,1709568582.5908,1709568582.59459,1709568582.59529,1709568582.59559,1709568582.62288,1709568582.86127
"x70",18699,1709568582.68249,1709568582.68274,1709568582.91756,1709568582.92049,1709568582.92063,1709568582.92696,1709568582.92762,1709568582.92799,1709568582.97544,1709568583.20978
"x71",14299,1709568583.21845,1709568583.21873,1709568583.40677,1709568583.40949,1709568583.40962,1709568583.41487,1709568583.41542,1709568583.41571,1709568583.45564,1709568583.67119
"x72",11449,1709568583.70648,1709568583.70664,1709568584.37736,1709568584.38148,1709568584.38162,1709568584.38402,1709568584.38467,1709568584.38493,1709568584.44143,1709568584.64061
"x73",17599,1709568583.55407,1709568583.55441,1709568583.70899,1709568583.71136,1709568583.7115,1709568583.72116,1709568583.72207,1709568583.72233,1709568583.77091,1709568583.98888
"x74",11549,1709568584.67322,1709568584.67347,1709568584.82052,1709568584.82351,1709568584.82365,1709568584.82854,1709568584.82924,1709568584.82959,1709568584.88373,1709568585.11662
"x75",12099,1709568583.57489,1709568583.57509,1709568583.68602,1709568583.6883,1709568583.68844,1709568583.69318,1709568583.69409,1709568583.69441,1709568583.71714,1709568583.93706
"x76",12099,1709568583.72405,1709568583.72421,1709568584.02929,1709568584.03368,1709568584.03382,1709568584.05406,1709568584.05476,1709568584.0551,1709568584.10407,1709568584.3208
"x77",15399,1709568583.92491,1709568583.92524,1709568584.14342,1709568584.1466,1709568584.14673,1709568584.15342,1709568584.15419,1709568584.15451,1709568584.18947,1709568584.40071
"x78",14299,1709568583.98531,1709568583.98542,1709568584.07709,1709568584.08283,1709568584.083,1709568584.16234,1709568584.16299,1709568584.16329,1709568584.19098,1709568584.40616
"x79",15399,1709568584.31357,1709568584.31385,1709568584.48746,1709568584.4902,1709568584.49034,1709568584.49495,1709568584.49548,1709568584.49569,1709568584.52734,1709568584.74387
"x80",13199,1709568584.72166,1709568584.72193,1709568584.83535,1709568584.8375,1709568584.83763,1709568584.84082,1709568584.84157,1709568584.84174,1709568584.86362,1709568585.0706
"x81",10999,1709568585.59402,1709568585.59426,1709568585.64937,1709568585.6508,1709568585.65094,1709568585.65321,1709568585.65387,1709568585.65406,1709568585.69123,1709568585.907
"x82",12199,1709568586.78221,1709568586.78235,1709568587.25668,1709568587.26737,1709568587.26752,1709568587.32072,1709568587.32218,1709568587.32252,1709568587.4033,1709568587.65741
"x83",10999,1709568587.24127,1709568587.24148,1709568587.31051,1709568587.31187,1709568587.31201,1709568587.3168,1709568587.31756,1709568587.31789,1709568587.34636,1709568587.55648
"x84",15399,1709568587.46571,1709568587.46606,1709568587.64895,1709568587.65132,1709568587.65143,1709568587.65841,1709568587.65931,1709568587.65964,1709568587.6905,1709568587.90389
"x85",10999,1709568587.52163,1709568587.52187,1709568587.58822,1709568587.58977,1709568587.58989,1709568587.59356,1709568587.5943,1709568587.59463,1709568587.62109,1709568587.84575
"x86",10999,1709568587.82209,1709568587.82232,1709568587.91015,1709568587.91231,1709568587.91244,1709568587.91507,1709568587.91561,1709568587.91588,1709568587.93741,1709568588.15036
"x87",10999,1709568588.76827,1709568588.76852,1709568588.82682,1709568588.82843,1709568588.82856,1709568588.83395,1709568588.83449,1709568588.83481,1709568588.84929,1709568589.05907
"x88",14299,1709568589.68427,1709568589.68456,1709568589.82359,1709568589.82582,1709568589.82596,1709568589.82999,1709568589.83047,1709568589.83076,1709568589.85027,1709568590.05063
"x89",12099,1709568589.84693,1709568589.8472,1709568589.95035,1709568589.95255,1709568589.95268,1709568589.95627,1709568589.95685,1709568589.95714,1709568589.97746,1709568590.20495
"x90",12099,1709568590.38551,1709568590.38577,1709568590.46969,1709568590.47127,1709568590.4714,1709568590.47365,1709568590.47403,1709568590.47424,1709568590.49001,1709568590.71141
"x91",18299,1709568591.12431,1709568591.1244,1709568591.18042,1709568591.18325,1709568591.18339,1709568591.25079,1709568591.25194,1709568591.25233,1709568591.27406,1709568591.52365
"x92",14299,1709568591.72408,1709568591.72425,1709568591.82235,1709568591.82405,1709568591.82418,1709568591.83196,1709568591.83292,1709568591.83321,1709568591.86483,1709568592.08589
"x93",15399,1709568592.11487,1709568592.11507,1709568592.23686,1709568592.23846,1709568592.23859,1709568592.2432,1709568592.24391,1709568592.24425,1709568592.2753,1709568592.49396
"x94",12899,1709568592.41182,1709568592.41211,1709568592.47077,1709568592.47228,1709568592.47241,1709568592.4785,1709568592.47906,1709568592.47939,1709568592.51404,1709568592.72893
"x95",12099,1709568592.65156,1709568592.65178,1709568592.89698,1709568592.90095,1709568592.90109,1709568592.91099,1709568592.91163,1709568592.91196,1709568592.97474,1709568593.24554
"x96",13199,1709568593.02521,1709568593.02552,1709568593.09742,1709568593.09905,1709568593.09919,1709568593.1027,1709568593.10329,1709568593.10363,1709568593.12373,1709568593.36194
"x97",25299,1709568593.28009,1709568593.28055,1709568593.63859,1709568593.64233,1709568593.64247,1709568593.66275,1709568593.66392,1709568593.66426,1709568593.71931,1709568593.95699
"x98",14299,1709568593.13466,1709568593.13496,1709568593.1947,1709568593.19579,1709568593.19593,1709568593.19839,1709568593.19904,1709568593.19925,1709568593.21262,1709568593.42986
"x99",20749,1709568594.74647,1709568594.74686,1709568594.97181,1709568594.97491,1709568594.97506,1709568594.98248,1709568594.98329,1709568594.98363,1709568595.01553,1709568595.20897
"x100",12099,1709568594.36682,1709568594.36709,1709568594.43447,1709568594.43534,1709568594.43544,1709568594.4382,1709568594.43887,1709568594.43902,1709568594.46072,1709568594.68956
"x101",10999,1709568594.41618,1709568594.41642,1709568594.48529,1709568594.48683,1709568594.48698,1709568594.48998,1709568594.49049,1709568594.49072,1709568594.5089,1709568594.73866
"x102",25238,1709568594.74515,1709568594.74527,1709568596.11254,1709568596.19439,1709568596.19454,1709568596.46234,1709568596.46353,1709568596.46386,1709568596.6975,1709568597.24709
"x103",10999,1709568594.72165,1709568594.72189,1709568594.79591,1709568594.79691,1709568594.79705,1709568594.80031,1709568594.80093,1709568594.80118,1709568594.83348,1709568595.04499
"x104",12399,1709568595.08151,1709568595.0818,1709568595.23001,1709568595.23248,1709568595.23261,1709568595.2358,1709568595.23638,1709568595.23672,1709568595.27466,1709568595.48125
"x105",12099,1709568595.36132,1709568595.36157,1709568595.4107,1709568595.41178,1709568595.41188,1709568595.41307,1709568595.41348,1709568595.41373,1709568595.42609,1709568595.64661
"x106",12099,1709568595.49844,1709568595.49867,1709568595.60795,1709568595.60983,1709568595.60995,1709568595.6198,1709568595.62068,1709568595.62101,1709568595.64144,1709568595.87092
"x107",10449,1709568596.0369,1709568596.03714,1709568596.07315,1709568596.07452,1709568596.07466,1709568596.07648,1709568596.07704,1709568596.07727,1709568596.09038,1709568596.31498
"x108",21999,1709568595.84025,1709568595.84049,1709568596.06049,1709568596.06311,1709568596.06326,1709568596.06971,1709568596.07028,1709568596.07063,1709568596.11162,1709568596.35925
"x109",10999,1709568595.73815,1709568595.73835,1709568595.80487,1709568595.80614,1709568595.80626,1709568595.80883,1709568595.80941,1709568595.8097,1709568595.83474,1709568596.07265
"x110",10999,1709568596.17485,1709568596.1751,1709568596.25103,1709568596.2521,1709568596.25219,1709568596.25426,1709568596.25474,1709568596.25485,1709568596.27016,1709568596.47533
"x111",10999,1709568596.86198,1709568596.86222,1709568596.92157,1709568596.92245,1709568596.92259,1709568596.92454,1709568596.92523,1709568596.9255,1709568596.93871,1709568597.14699
"x112",10999,1709568597.19295,1709568597.19317,1709568597.25489,1709568597.25599,1709568597.25609,1709568597.26235,1709568597.26307,1709568597.2634,1709568597.29935,1709568597.49515
"x113",10149,1709568597.57654,1709568597.57674,1709568597.6416,1709568597.64298,1709568597.64313,1709568597.64933,1709568597.65011,1709568597.65043,1709568597.66657,1709568597.8709
"x114",10599,1709568597.7206,1709568597.7208,1709568597.75875,1709568597.75982,1709568597.75994,1709568597.76209,1709568597.76255,1709568597.76292,1709568597.77527,1709568598.0049
"x115",13199,1709568598.21024,1709568598.21049,1709568598.35712,1709568598.35924,1709568598.35936,1709568598.36389,1709568598.3646,1709568598.36497,1709568598.39379,1709568598.606
"x116",13199,1709568597.92777,1709568597.92806,1709568598.08092,1709568598.08332,1709568598.08345,1709568598.08715,1709568598.08785,1709568598.08814,1709568598.12369,1709568598.34256
"x117",20899,1709568598.32217,1709568598.32238,1709568599.86274,1709568599.9167,1709568599.91683,1709568600.03695,1709568600.03797,1709568600.03831,1709568600.18891,1709568600.42656
"x118",11499,1709568599.08836,1709568599.08858,1709568599.23721,1709568599.23964,1709568599.23977,1709568599.24464,1709568599.24538,1709568599.2457,1709568599.26693,1709568599.47724
"x119",11649,1709568598.94591,1709568598.94613,1709568599.08235,1709568599.08531,1709568599.08545,1709568599.09251,1709568599.09305,1709568599.09339,1709568599.12066,1709568599.35059
"x120",39599,1709568599.28474,1709568599.28489,1709568599.4839,1709568599.51439,1709568599.51455,1709568599.9414,1709568599.94245,1709568599.94282,1709568600.00488,1709568600.23981
"x121",14299,1709568599.52223,1709568599.52253,1709568599.61707,1709568599.61902,1709568599.61916,1709568599.62455,1709568599.62536,1709568599.62574,1709568599.64441,1709568599.88258
"x122",14799,1709568600.29684,1709568600.29716,1709568600.51537,1709568600.51894,1709568600.51908,1709568600.52623,1709568600.527,1709568600.52733,1709568600.57848,1709568600.78113
"x123",25299,1709568599.87902,1709568599.8795,1709568600.2548,1709568600.25883,1709568600.25897,1709568600.27453,1709568600.27539,1709568600.27568,1709568600.33108,1709568600.54134
"x124",13199,1709568599.74747,1709568599.74752,1709568599.8839,1709568599.89157,1709568599.8917,1709568599.97793,1709568599.97875,1709568599.97896,1709568600.02713,1709568600.32154
"x125",35199,1709568600.02726,1709568600.02737,1709568601.01643,1709568601.06383,1709568601.064,1709568601.43529,1709568601.43656,1709568601.4369,1709568601.57379,1709568601.86701
"x126",18699,1709568600.21294,1709568600.21324,1709568600.77446,1709568600.77717,1709568600.77732,1709568600.78478,1709568600.78561,1709568600.78584,1709568600.81689,1709568601.01925
"x127",10999,1709568600.07338,1709568600.07355,1709568600.15424,1709568600.15611,1709568600.15625,1709568600.15994,1709568600.16039,1709568600.1607,1709568600.18177,1709568600.39368
"x128",10999,1709568600.09917,1709568600.09941,1709568600.27107,1709568600.27404,1709568600.27419,1709568600.27662,1709568600.27718,1709568600.27748,1709568600.30696,1709568600.51475
"x129",16499,1709568600.27332,1709568600.27363,1709568600.44135,1709568600.44423,1709568600.44438,1709568600.44841,1709568600.44899,1709568600.44922,1709568600.49515,1709568600.72215
"x130",13199,1709568600.54852,1709568600.54879,1709568600.68019,1709568600.68252,1709568600.68265,1709568600.7063,1709568600.70713,1709568600.70752,1709568600.73244,1709568600.94919
"x131",24199,1709568600.95136,1709568600.95172,1709568601.35275,1709568601.35763,1709568601.35778,1709568601.39296,1709568601.39369,1709568601.39405,1709568601.43973,1709568601.69585
"x132",17599,1709568601.11418,1709568601.1145,1709568601.28401,1709568601.28674,1709568601.28688,1709568601.30777,1709568601.30848,1709568601.30877,1709568601.33425,1709568601.56167
"x133",12099,1709568601.16925,1709568601.16955,1709568601.29919,1709568601.30131,1709568601.30145,1709568601.30503,1709568601.30572,1709568601.30608,1709568601.33989,1709568601.55774
"x134",17599,1709568601.6477,1709568601.64798,1709568603.66046,1709568603.69,1709568603.69015,1709568603.75556,1709568603.75699,1709568603.75738,1709568603.91141,1709568604.16357
"x135",10849,1709568601.85938,1709568601.85953,1709568601.92911,1709568601.93068,1709568601.93081,1709568601.93497,1709568601.93561,1709568601.93595,1709568601.95206,1709568602.18272
"x136",61099,1709568602.97254,1709568602.97268,1709568604.27285,1709568604.39394,1709568604.39413,1709568605.46458,1709568605.46633,1709568605.46664,1709568605.6706,1709568605.91711
"x137",14299,1709568602.94869,1709568602.94914,1709568602.95442,1709568602.95463,1709568602.95474,1709568602.95553,1709568602.95597,1709568602.95598,1709568602.95786,1709568602.9579
"x138",12599,1709568603.69669,1709568603.69697,1709568603.83583,1709568603.83863,1709568603.83878,1709568603.8436,1709568603.84432,1709568603.84471,1709568603.87155,1709568604.09714
"x139",21999,1709568603.58207,1709568603.58248,1709568604.01369,1709568604.01858,1709568604.01872,1709568604.03448,1709568604.03553,1709568604.03582,1709568604.08712,1709568604.29704
"x140",10999,1709568604.98152,1709568604.98176,1709568605.12206,1709568605.12497,1709568605.12511,1709568605.12905,1709568605.12969,1709568605.13003,1709568605.17458,1709568605.40406
"x141",12099,1709568605.07182,1709568605.07206,1709568605.18899,1709568605.19154,1709568605.19168,1709568605.19662,1709568605.19733,1709568605.19763,1709568605.21891,1709568605.44209
"x142",13199,1709568605.36426,1709568605.36451,1709568605.4719,1709568605.47402,1709568605.47414,1709568605.47804,1709568605.47865,1709568605.47892,1709568605.50237,1709568605.73683
"x143",16499,1709568605.42644,1709568605.42677,1709568605.65487,1709568605.65747,1709568605.65758,1709568605.66332,1709568605.66376,1709568605.66397,1709568605.70086,1709568605.89209
"x144",13199,1709568605.45307,1709568605.45338,1709568605.67529,1709568605.6776,1709568605.67772,1709568605.6826,1709568605.68319,1709568605.68352,1709568605.74101,1709568605.96305
"x145",10999,1709568605.81077,1709568605.811,1709568605.86293,1709568605.86444,1709568605.86456,1709568605.86712,1709568605.86761,1709568605.86787,1709568605.89904,1709568606.1041
"x146",10999,1709568606.44863,1709568606.44886,1709568606.53326,1709568606.53513,1709568606.53526,1709568606.5383,1709568606.53884,1709568606.53915,1709568606.57362,1709568606.79846
"x147",10999,1709568606.56288,1709568606.56311,1709568606.63289,1709568606.63465,1709568606.63479,1709568606.63915,1709568606.63974,1709568606.64009,1709568606.65963,1709568606.8676
"x148",10999,1709568606.58584,1709568606.58607,1709568606.64428,1709568606.64583,1709568606.64597,1709568606.64983,1709568606.65061,1709568606.65098,1709568606.67893,1709568606.87181
"x149",11899,1709568609.23586,1709568609.23608,1709568609.36568,1709568609.36788,1709568609.36801,1709568609.37545,1709568609.37634,1709568609.37663,1709568609.41506,1709568609.64033
"x150",13899,1709568609.71545,1709568609.71575,1709568609.83059,1709568609.83257,1709568609.83271,1709568609.83674,1709568609.83747,1709568609.8378,1709568609.85919,1709568610.05411
"x151",10999,1709568606.58101,1709568606.58124,1709568606.67179,1709568606.67321,1709568606.67337,1709568606.6768,1709568606.67738,1709568606.67765,1709568606.70987,1709568606.91651
"x152",13549,1709568607.28695,1709568607.28719,1709568607.41475,1709568607.41708,1709568607.41722,1709568607.45632,1709568607.45691,1709568607.45723,1709568607.48205,1709568607.69011
"x153",12549,1709568607.58149,1709568607.58174,1709568607.75986,1709568607.76212,1709568607.76223,1709568607.76661,1709568607.76743,1709568607.76767,1709568607.8012,1709568608.03855
"x154",13199,1709568607.53588,1709568607.53615,1709568607.69168,1709568607.69409,1709568607.69422,1709568607.70135,1709568607.70203,1709568607.70227,1709568607.74445,1709568607.96677
"x155",16499,1709568607.83999,1709568607.84025,1709568607.93852,1709568607.94049,1709568607.94062,1709568607.94537,1709568607.94609,1709568607.94642,1709568607.96634,1709568608.19601
"x156",14049,1709568607.95962,1709568607.9598,1709568608.21953,1709568608.22262,1709568608.22276,1709568608.22842,1709568608.22912,1709568608.22945,1709568608.28616,1709568608.5248
"x157",14449,1709568610.02028,1709568610.02058,1709568610.15712,1709568610.15936,1709568610.15949,1709568610.16516,1709568610.16576,1709568610.16608,1709568610.18936,1709568610.42185
"x158",10999,1709568608.24063,1709568608.24078,1709568608.35557,1709568608.35808,1709568608.35821,1709568608.36174,1709568608.36232,1709568608.36269,1709568608.38604,1709568608.61517
